NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Des Moines, East Passage
State: WA
Stationid: 9446248
ReferencedToStationName: Seattle
ReferenceToStationId: 9447130
HeightOffsetLow: *1.01
HeightOffsetHigh: * 1.03
TimeOffsetLow: 8
TimeOffsetHigh: 5
Prediction Type: Subordinate
From: 20161231 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2017/03/23	Thu	09:27 AM	6.4		195		L
2017/03/23	Thu	02:03 PM	9.0		274		H
2017/03/23	Thu	08:43 PM	1.2		37		L
2017/03/24	Fri	03:59 AM	10.9		332		H
2017/03/24	Fri	10:00 AM	5.7		174		L
2017/03/24	Fri	03:00 PM	9.5		290		H
2017/03/24	Fri	09:32 PM	0.9		27		L
2017/03/25	Sat	04:28 AM	11.3		344		H
2017/03/25	Sat	10:30 AM	4.9		149		L
2017/03/25	Sat	03:51 PM	10.0		305		H
2017/03/25	Sat	10:17 PM	0.8		24		L
2017/03/26	Sun	04:56 AM	11.6		354		H
2017/03/26	Sun	11:01 AM	3.8		116		L
2017/03/26	Sun	04:39 PM	10.6		323		H
2017/03/26	Sun	10:59 PM	0.9		27		L
2017/03/27	Mon	05:24 AM	11.9		363		H
2017/03/27	Mon	11:35 AM	2.7		82		L
2017/03/27	Mon	05:27 PM	11.1		338		H
2017/03/27	Mon	11:42 PM	1.2		37		L
2017/03/28	Tue	05:55 AM	12.1		369		H
2017/03/28	Tue	12:13 PM	1.6		49		L
2017/03/28	Tue	06:16 PM	11.4		347		H
2017/03/29	Wed	12:24 AM	1.9		58		L
2017/03/29	Wed	06:28 AM	12.3		375		H
2017/03/29	Wed	12:53 PM	0.5		15		L
2017/03/29	Wed	07:07 PM	11.6		354		H
2017/03/30	Thu	01:09 AM	2.8		85		L
2017/03/30	Thu	07:03 AM	12.3		375		H
2017/03/30	Thu	01:37 PM	-0.3		-9		L
2017/03/30	Thu	08:02 PM	11.6		354		H
2017/03/31	Fri	01:56 AM	3.8		116		L
2017/03/31	Fri	07:42 AM	12.1		369		H
2017/03/31	Fri	02:23 PM	-0.8		-24		L
2017/03/31	Fri	09:01 PM	11.5		351		H
2017/04/01	Sat	02:48 AM	4.9		149		L
2017/04/01	Sat	08:25 AM	11.6		354		H
2017/04/01	Sat	03:14 PM	-0.9		-27		L
2017/04/01	Sat	10:06 PM	11.2		341		H
2017/04/02	Sun	03:47 AM	5.8		177		L
2017/04/02	Sun	09:14 AM	11.0		335		H
2017/04/02	Sun	04:09 PM	-0.6		-18		L
2017/04/02	Sun	11:21 PM	10.9		332		H
2017/04/03	Mon	05:01 AM	6.5		198		L
2017/04/03	Mon	10:13 AM	10.3		314		H
2017/04/03	Mon	05:11 PM	-0.2		-6		L
2017/04/04	Tue	12:45 AM	10.9		332		H
2017/04/04	Tue	06:34 AM	6.6		201		L
2017/04/04	Tue	11:26 AM	9.6		293		H
2017/04/04	Tue	06:20 PM	0.3		9		L
2017/04/05	Wed	02:04 AM	11.1		338		H
2017/04/05	Wed	08:05 AM	6.0		183		L
2017/04/05	Wed	12:49 PM	9.3		283		H
2017/04/05	Wed	07:31 PM	0.7		21		L
2017/04/06	Thu	03:04 AM	11.4		347		H
2017/04/06	Thu	09:11 AM	5.1		155		L
2017/04/06	Thu	02:10 PM	9.3		283		H
2017/04/06	Thu	08:37 PM	1.0		30		L
2017/04/07	Fri	03:50 AM	11.6		354		H
2017/04/07	Fri	10:00 AM	4.1		125		L
2017/04/07	Fri	03:21 PM	9.6		293		H
2017/04/07	Fri	09:34 PM	1.3		40		L
2017/04/08	Sat	04:26 AM	11.7		357		H
2017/04/08	Sat	10:40 AM	3.1		94		L
2017/04/08	Sat	04:20 PM	10.0		305		H
2017/04/08	Sat	10:23 PM	1.7		52		L
2017/04/09	Sun	04:55 AM	11.7		357		H
2017/04/09	Sun	11:15 AM	2.3		70		L
2017/04/09	Sun	05:10 PM	10.3		314		H
2017/04/09	Sun	11:06 PM	2.3		70		L
2017/04/10	Mon	05:21 AM	11.6		354		H
2017/04/10	Mon	11:46 AM	1.6		49		L
2017/04/10	Mon	05:55 PM	10.6		323		H
2017/04/10	Mon	11:47 PM	3.0		91		L
2017/04/11	Tue	05:45 AM	11.4		347		H
2017/04/11	Tue	12:16 PM	1.0		30		L
2017/04/11	Tue	06:36 PM	10.8		329		H
2017/04/12	Wed	12:25 AM	3.7		113		L
2017/04/12	Wed	06:12 AM	11.2		341		H
2017/04/12	Wed	12:46 PM	0.5		15		L
2017/04/12	Wed	07:17 PM	10.9		332		H
2017/04/13	Thu	01:04 AM	4.4		134		L
2017/04/13	Thu	06:40 AM	11.0		335		H
2017/04/13	Thu	01:18 PM	0.2		6		L
2017/04/13	Thu	07:57 PM	11.0		335		H
2017/04/14	Fri	01:43 AM	5.1		155		L
2017/04/14	Fri	07:11 AM	10.6		323		H
2017/04/14	Fri	01:52 PM	0.0		0		L
2017/04/14	Fri	08:40 PM	11.0		335		H
2017/04/15	Sat	02:25 AM	5.8		177		L
2017/04/15	Sat	07:44 AM	10.2		311		H
2017/04/15	Sat	02:30 PM	0.1		3		L
2017/04/15	Sat	09:26 PM	10.9		332		H
2017/04/16	Sun	03:11 AM	6.3		192		L
2017/04/16	Sun	08:20 AM	9.6		293		H
2017/04/16	Sun	03:11 PM	0.3		9		L
2017/04/16	Sun	10:16 PM	10.7		326		H
2017/04/17	Mon	04:06 AM	6.8		207		L
2017/04/17	Mon	09:02 AM	9.1		277		H
2017/04/17	Mon	03:57 PM	0.7		21		L
2017/04/17	Mon	11:13 PM	10.6		323		H
2017/04/18	Tue	05:16 AM	7.0		213		L
2017/04/18	Tue	09:55 AM	8.5		259		H
2017/04/18	Tue	04:50 PM	1.1		34		L
2017/04/19	Wed	12:16 AM	10.5		320		H
2017/04/19	Wed	06:43 AM	6.8		207		L
2017/04/19	Wed	11:04 AM	8.1		247		H
2017/04/19	Wed	05:49 PM	1.5		46		L
2017/04/20	Thu	01:17 AM	10.6		323		H
2017/04/20	Thu	07:57 AM	6.2		189		L
2017/04/20	Thu	12:22 PM	8.0		244		H
2017/04/20	Thu	06:53 PM	1.7		52		L
2017/04/21	Fri	02:08 AM	10.8		329		H
2017/04/21	Fri	08:43 AM	5.4		165		L
2017/04/21	Fri	01:36 PM	8.3		253		H
2017/04/21	Fri	07:54 PM	1.9		58		L
2017/04/22	Sat	02:49 AM	11.1		338		H
2017/04/22	Sat	09:19 AM	4.3		131		L
2017/04/22	Sat	02:41 PM	8.9		271		H
2017/04/22	Sat	08:50 PM	2.0		61		L
2017/04/23	Sun	03:25 AM	11.4		347		H
2017/04/23	Sun	09:53 AM	3.1		94		L
2017/04/23	Sun	03:39 PM	9.6		293		H
2017/04/23	Sun	09:41 PM	2.2		67		L
2017/04/24	Mon	03:58 AM	11.7		357		H
2017/04/24	Mon	10:27 AM	1.7		52		L
2017/04/24	Mon	04:33 PM	10.4		317		H
2017/04/24	Mon	10:30 PM	2.6		79		L
2017/04/25	Tue	04:31 AM	12.0		366		H
2017/04/25	Tue	11:05 AM	0.4		12		L
2017/04/25	Tue	05:24 PM	11.1		338		H
2017/04/25	Tue	11:17 PM	3.2		98		L
2017/04/26	Wed	05:05 AM	12.1		369		H
2017/04/26	Wed	11:44 AM	-0.8		-24		L
2017/04/26	Wed	06:16 PM	11.7		357		H
2017/04/27	Thu	12:05 AM	3.9		119		L
2017/04/27	Thu	05:42 AM	12.2		372		H
2017/04/27	Thu	12:27 PM	-1.8		-55		L
2017/04/27	Thu	07:09 PM	12.1		369		H
2017/04/28	Fri	12:54 AM	4.6		140		L
2017/04/28	Fri	06:22 AM	12.0		366		H
2017/04/28	Fri	01:12 PM	-2.3		-70		L
2017/04/28	Fri	08:05 PM	12.2		372		H
2017/04/29	Sat	01:47 AM	5.3		162		L
2017/04/29	Sat	07:05 AM	11.6		354		H
2017/04/29	Sat	01:59 PM	-2.4		-73		L
2017/04/29	Sat	09:02 PM	12.2		372		H
2017/04/30	Sun	02:45 AM	5.9		180		L
2017/04/30	Sun	07:53 AM	11.0		335		H
2017/04/30	Sun	02:50 PM	-2.1		-64		L
2017/04/30	Sun	10:04 PM	12.0		366		H
2017/05/01	Mon	03:51 AM	6.3		192		L
2017/05/01	Mon	08:49 AM	10.2		311		H
2017/05/01	Mon	03:44 PM	-1.3		-40		L
2017/05/01	Mon	11:10 PM	11.8		360		H
2017/05/02	Tue	05:10 AM	6.2		189		L
2017/05/02	Tue	09:56 AM	9.3		283		H
2017/05/02	Tue	04:43 PM	-0.4		-12		L
2017/05/03	Wed	12:18 AM	11.7		357		H
2017/05/03	Wed	06:38 AM	5.7		174		L
2017/05/03	Wed	11:16 AM	8.6		262		H
2017/05/03	Wed	05:49 PM	0.7		21		L
2017/05/04	Thu	01:21 AM	11.6		354		H
2017/05/04	Thu	07:55 AM	4.8		146		L
2017/05/04	Thu	12:46 PM	8.3		253		H
2017/05/04	Thu	06:59 PM	1.6		49		L
2017/05/05	Fri	02:15 AM	11.6		354		H
2017/05/05	Fri	08:53 AM	3.6		110		L
2017/05/05	Fri	02:14 PM	8.5		259		H
